Number_of_Workers,Number_of_partial_siddhi_apps,DataRate,No of String Attributes in input Stream,No of float Attributes in input Stream,No of double Attributes in input Stream,No of int Attributes in input Stream,No of long Attributes in input Stream,ExternalTmeWindowSize(Sec),ExternalTimeBatch,LengthWindow,TimeBatch,Integer operators,Aggregation function,In built functions,No of Select Operations,No of Insert Operators,No of From operators,Inner Streams,No of string extensions,No of email processor extensions,No of filter conditions,Throughput
3,3,3,4,7,2,1,2,30,0,0,0,7,3,3,4,4,4,2,0,0,1,209.1050792
3,6,3,4,7,2,1,2,30,0,0,0,7,3,3,4,4,4,2,0,0,1,403.0984941
3,9,3,4,7,2,1,2,30,0,0,0,7,3,3,4,4,4,2,0,0,1,515.3731139
3,18,3,4,7,2,1,2,30,0,0,0,7,3,3,4,4,4,2,0,0,1,717.2404052
4,4,3,4,7,2,1,2,30,0,0,0,7,3,3,4,4,4,2,0,0,1,245.9845335
5,9,3,4,7,2,1,2,30,0,0,0,7,3,3,4,4,4,2,0,0,1,418.5411093
6,6,3,4,7,2,1,2,30,0,0,0,7,3,3,4,4,4,2,0,0,1,383.6897582
6,9,3,4,7,2,1,2,30,0,0,0,7,3,3,4,4,4,2,0,0,1,696.2238515
6,18,3,4,7,2,1,2,30,0,0,0,7,3,3,4,4,4,2,0,0,1,739.1221529
7,9,3,4,7,2,1,2,30,0,0,0,7,3,3,4,4,4,2,0,0,1,407.4099352
8,16,15,4,7,2,1,2,30,0,0,0,7,3,3,4,4,4,2,0,0,1,618.9809612
9,9,3,4,7,2,1,2,30,0,0,0,7,3,3,4,4,4,2,0,0,1,680.3693606
9,18,3,4,7,2,1,2,30,0,0,0,7,3,3,4,4,4,2,0,0,1,416.0763731
10,16,15,4,7,2,1,2,30,0,0,0,7,3,3,4,4,4,2,0,0,1,751.7028215
10,15,15,4,7,2,1,2,30,0,0,0,7,3,3,4,4,4,2,0,0,1,720.1177737
10,16,15,4,7,2,1,2,30,0,0,0,7,3,3,4,4,4,2,0,0,1,755.543405
2,8,3,4,7,2,1,2,30,0,0,0,7,3,3,4,4,4,2,0,0,1,376.4530252
4,8,3,4,7,2,1,2,30,0,0,0,7,3,3,4,4,4,2,0,0,1,301.2901784
3,9,15,4,7,2,1,2,30,0,0,0,2,1,1,4,4,4,1,0,0,1,135.2985824
6,9,15,4,7,2,1,2,30,0,0,0,2,1,1,4,4,4,1,0,0,1,93.38069469
9,9,15,4,7,2,1,2,30,0,0,0,2,1,1,4,4,4,1,0,0,1,91.77418955
3,9,15,4,7,2,1,2,0,30,0,0,3,1,1,4,4,4,0,0,0,1,82.27949352
6,9,15,4,7,2,1,2,0,30,0,0,3,1,1,4,4,4,0,0,0,1,174.5949768
9,9,15,4,7,2,1,2,0,30,0,0,3,1,1,4,4,4,0,0,0,1,254.7509169
3,7,3,4,7,2,1,2,0,0,10,0,0,1,2,3,3,3,2,0,0,0,30.92229166
8,8,3,4,7,2,1,2,0,0,10,0,0,1,2,3,3,3,2,0,0,0,37.03504616
6,6,3,4,7,2,1,2,0,0,10,0,0,1,2,3,3,3,2,0,0,0,2.948244036
3,9,87,0,2,0,4,2,3600,0,0,60,0,2,1,3,4,4,1,0,0,0,579.5692184
6,9,87,0,2,0,4,2,3600,0,0,60,0,2,1,3,4,4,1,0,0,0,657.2481623
9,9,87,0,2,0,4,2,3600,0,0,60,0,2,1,3,4,4,1,0,0,0,583.1
3,9,35,7,0,0,1,1,0,0,0,0,1,0,1,11,11,9,9,3,5,1,418.0576699
6,9,35,7,0,0,1,1,0,0,0,0,1,0,1,11,11,9,9,3,5,1,354.4191206
9,9,35,7,0,0,1,1,0,0,0,0,1,0,1,11,11,9,9,3,5,1,449.9349263
8,9,35,7,0,0,1,1,0,0,0,0,1,0,1,11,11,9,9,3,5,1,545.5287716
4,8,35,7,0,0,1,1,0,0,0,0,1,0,1,11,11,9,9,3,5,1,596.4317381
5,7,35,7,0,0,1,1,0,0,0,0,1,0,1,11,11,9,9,3,5,1,656.7432391
6,6,35,7,0,0,1,1,0,0,0,0,1,0,1,11,11,9,9,3,5,1,565.9319567
